municipio,candidato,partido,ano,proposta_1,proposta_2,proposta_3,proposta_4,proposta_5
Belém,CELIO STUDART BARBOSA,PV,2020,"Criar um projeto de Escola Sustentável, responsável pelo desenvolvimento de um projeto piloto de educação ambiental que sirva de laboratório para professores, alunos e comunidade em geral com a finalidade de difundir a consciência ecológica. O projeto inicial, que pode ser expandido, deverá contemplar, obrigatoriamente:","Monitorar a qualidade do ar do município de Fortaleza, levando em consideração que as emissões de gases poluentes causam problemas de saúde na população","Estimular a ampliação do mercado de trabalho, buscando o incremento de empregos verdes, por meio de incentivos às atividades econômicas sustentáveis","Instituir Bolsa Virtual integralmente dedicada a Empregos Verdes em Fortaleza, em parceria com instituições reconhecidas na área socioambiental, com ações de avaliação, orientação e capacitação online para empreendedores, associando pacotes diferenciados por empresa para a qualificação profissional de seus empregados trabalhadores",O estímulo ao comércio lojista de rua como forma de manutenção do multiuso dos bairros
Belém,HEITOR CORREIA FÉRRER,SOLIDARIEDADE,2020,"Passe livre estudantil, expansão da tarifa social, linhas 24 horas e manutenção do preço da passagem;",Reestruturar o plano de previdência dos servidores do Município de Fortaleza para seu equilíbrio fiscal.,"Desenvolver Plano de Qualidade de Vida com políticas nutricionais e de cuidados alimentares, atividades físicas e educação financeira nos respectivos bairros e comunidades voltados a combater as Doenças Crônicas Não Transmissíveis, a obesidade e sedentarismo de crianças, adolescentes e adultos, redução da violência e morte infantil e, finanças das famílias",Ampliar a inserção internacional da cidade de Fortaleza através da captação e realização de feiras e convenções internacionais no município priorizando grandes eventos esportivos e tecnológicos,"Expandir a oferta de educação profissional técnica de nível médio na modalidade de educação à distância, assegurado padrão de qualidade"
Belém,HEITOR RODRIGO PEREIRA FREIRE,PSL,2020,"Manutenção de um observatório permanente para mediar a relação de professores e poder público, com olhar especial para a remuneração do corpo docente",Estímulo à criação de uma associação voltada para familiares de pessoas com Transtorno do Espectro do Autismo,Estímulo às cooperativas de frentes de trabalho – construção civil e limpeza urbana em especial;,"Ampliação do desenvolvimento de programas de incentivo ao esporte, como bolsas esportivas ou quali cações por meio de intercâmbios","Instituição de boni cação para Guarda Municipal de Fortaleza, conforme resultado individual e coletivo (prevenção de criminalidade);"
Belém,JOSÉ LOURETO BARROSO SOUZA,PCO,2020,programa ausente,,,,
Belém,JOSÉ SARTO NOGUEIRA MOREIRA,PDT,2020,"o papel da cultura empreendedora, nas suas mais diversas perspectivas, da tecnologia à produção e comercialização de bens de consumo tradicionais, aliadas à inovação deverão ser os fundamentos principais das políticas públicas de geração de emprego e renda","O papel do Poder Público de movimentar a economia por meio da execução orçamentária, bem como de fomentar e apoiar a iniciativa privada e as forças produtivas, com foco principal nos micro e pequenos negócios, especialmente, das áreas periféricas, bem como em nichos específicos com grande potencial de geração de emprego, terá papel central no plano de governo.","o tema da saúde pode e deve ser articulado em várias frentes diretas e indiretas, desde as redes de atenção primária, secundária e terciária à saúde pública passando por políticas de esporte, mobilidade, lazer, educação, dentre tantas outras, que estimulem um modo de vida mais ativo e funcionem como vetor de promoção de uma vida saudável.",escola de tempo integral,combate ao déficit habitacional
Belém,LUIZIANNE DE OLIVEIRA LINS,PT,2020,Estabeleceremos como meta de governo a universalização das creches.,"criação de fóruns comunitários para debater causas, problemas e soluções, especialmente nos bairros com maiores índices de violência",abertura de escolas municipais nos fins de semana para atividades familiares e recreativas,"Dentro do espírito da participação e da transparência é necessário rever a lei de uso e ocupação do solo urbano, modificando a forma de ocupação da cidade, reduzindo a especulação estéril, otimizando espaços privados, inclusive para habitação popular e lazer, valorizando e redescobrindo novos espaços públicos e preservando o patrimônio histórico e cultural.",
Belém,PAULA VIRGINIA DE OLIVEIRA NUNES COLARES,UP,2020,Reajuste de 15% sobre o IPTU para empresas e cidadãos que possuírem mais de 5 imóveis na cidade,"Incentivar a criação do Programa Fortaleza do Futuro, com o objetivo de atrair projetos de tecnologia limpa, particularmente criando cooperativas nesse campo","Construir um PÓLO confecção, calçados e assessórios, reunindo micro e pequenas empresas",Efetivação dos professores temporários com mais de dois anos na rede de educação,"Fortalecer os Conselhos de Saúde, compostos por representações de associações de bairros, movimentos populares, movimentos sociais, entidades estudantis, sindicatos, por regional de Fortaleza, para debater e encaminhar ações sobre saúde, em especial nas campanhas preventivas e atendimento primário. Cada conselho se encarregará de criar núcleos por bairros."
Belém,RENATO ROSENO DE OLIVEIRA,PSOL,2020,Viabilizar com urgência um programa de renda básica para a população em situação de extrema pobreza em Fortaleza,"Cobrança das dívidas ativas do município com as grandes empresas, ampliando a capacidade de investimento da Prefeitura","Implantação dos distritos sanitários de saúde, garantindo a existência de técnicos de todas as áreas da Secretaria Municipal de Saúde Pública com vistas a uma atuação regionalizada, que deve ser base de enfrentamento à pandemia do coronavírus e de outras doenças, bem como de promoção da saúde","Criação de arranjos produtivos que aproximem os produtores locais e regionais aos agentes institucionais de modo a facilitar que a renda circule, prioritariamente, em territórios mais vulnerabilizados (contando com mercados comunitários, “budegas” colaborativas), organizada com auxílio de aplicativos. Paralelamente, apoio às feiras de produtos orgânicos in natura e beneficiados, com regularidade mínima semanal, envolvendo a agricultura família e ONG’s como o CETRA, CEPEMA, ESPLAR, MST e outras cooperativas;","Estabelecer uma coordenação especial de projetos de prevenção à violência dentro do gabinete do Prefeito (as boas experiências revelam que a aproximação institucional dos programas de prevenção social focalizada no gabinete do Chefe do Executivo faz ganhar ritmo de execução, articulação e maior eficiência) para facilitar a coordenação com a Secretaria Municipal de Segurança Cidadã"
Belém,SAMUEL MORAES BRAGA,PATRIOTA,2020,Criar uma Escola de Saúde Pública Municipal,"Criar as galerias culturais e comerciais para alocar vendedores ambulantes, desocupando calçadas e praças, para que o cidadão possa caminhar livremente;","Criar o “Bolsa Pet”, em forma de doação de alimentos para animais, que tenham sido adotados como animalzinho de rua","Criar o Programa Câmbio Verde, onde as famílias mais carentes receberão um Kit de Frutas e Verduras, pela troca de Resíduos Recicláveis;",Criar corredores urbanísticos para o transporte público de qualidade
Belém,WAGNER SOUSA GOMES,PROS,2020,"Garantia de acesso integral à rede municipal, sem barreiras de territorialização, permitindo que o usuário seja atendido em qualquer unidade de saúde, independente do bairro onde reside e trabalha","Garantir que todos os alunos da escola pública municipal tenham acesso ao ensino de idiomas estrangeiros, com prioridade para a aprendizagem do inglês e do espanhol","Instituir o programa AGENTE DA EDUCAÇÃO, escolhidos através de seleção pública, para a promoção do laços família-escola-comunidade; para a execução de novas políticas públicas; e na pacificação do ambiente escolar","Dotar a Guarda Municipal de Fortaleza de uma sede própria e de uma Academia para capacitação permanente de seus quadros. Atualmente, a sede a instituição localiza-se em um hotel alugado pela Prefeitura, no bairro Messejana.","Implantação de um amplo programa de incentivo ao empreendedorismo e a geração de empregos, com a concessão de incentivos fiscais para novos negócios e com a simplificação dos processos para a abertura de novas empresas; e com a reconstituição do alvará definitivo para os negócios que, atualmente, passam pela burocracia atrasada da emissão anual de um documento que deve ser permanente;"
Belém,ANISIO SOARES MAIA,PT,2020,"Resgatar o projeto do PAC da Mobilidade, abandonado pela atual gestão, apesar da disponibilidade de recursos pelo governo federal, com a implantação dos corredores para o “Bus Rapid Transport – BRT”, mais rápido e mais confortável, com a construção de terminais de integração, com bicicletários e outros serviços.","A Atenção Básica de qualidade será prioridade. Investiremos na criação de novas equipes, buscando o aumento da cobertura e a redução da sobrecarga das equipes atuais, para que a população consiga um melhor cuidado, e também proporcionar às equipes de saúde melhores condições de trabalho e uma demanda adequada a sua capacidade.","É fundamental aprofundar no município a discussão de uma política de saúde integral da população negra. Reconhecendo que as iniquidades, desigualdades e o racismo estrutural têm como consequência uma maior vulnerabilidade e morbimortalidade das populações negras brasileiras. Precisamos envolver gestores, movimentos sociais, e profissionais de saúde na construção de uma política de saúde que enfrente o racismo institucional e fortaleça a temática étnico-racial na educação permanente e na política de saúde da nossa cidade.","Criação da Mesa Permanente de Negociação envolvendo PMJP e trabalhadores em educação para discussão e negociação permanente sobre salários, plano de carreira, políticas de formação continuada e condições de trabalho.","Criaremos uma incubadora pública destinada a fomentar o desenvolvimento de empreendimentos econômicos solidários (arranjos econômicos coletivos), tendo como ênfase a elaboração e execução de plano de negócios para cada empreendimento. O período máximo de incubação será de dois anos para cada empreendimento. A incubadora oferecerá orientação para tomada de crédito, assessoramento na fase de legalização do negócio, formação nas áreas de gestão e produção, apoio no desenvolvimento das marcas e dos produtos, articulação de rodadas de negociação e participação em feiras e eventos, além de consultoria contábil, administrativa e jurídica."
Belém,CAMILO SOBREIRA DUARTE FILHO,PCO,2020,programa ausente,,,,
Belo Horizonte,CARLOS ANTÔNIO ARAÚJO MONTEIRO,REDE,2020,"Intervenção de alfabetização através do Projeto Borboleta que consiste, na prática pedagógica, no desenvolvimento de uma série de sequências didáticas alternativas, que tem como foco a evolução das habilidades de leitura e interpretação —em português e em matemática—, a ser realizado por todas as disciplinas.","Orçamento e Execução por Bairro, com a participação da sociedade, da vereança, dos líderes políticos e comunitários, dos pais, das mães, dos jovens, dos religiosos, dos empreendedores e das entidades representativas;","Treinamento para assegurar emprego para a força de trabalho do bairro/comunidade, no mínimo de 30%, quando da contratação de sociedades empresarias na realização de obras e serviços no bairro/comunidade.","Regularização Fundiária de mais de 30 mil residências familiares pela Prefeitura Municipal, com a coordenação jurídica da Procuradoria-Geral do Município e convênios com a OAB-PB, Defensoria Pública e universidades/IFPB, sem pagamento de custas, honorários e emolumentos;","Aumentar substancialmente a eficiência do uso da água em todos os setores e assegurar retiradas sustentáveis e o abastecimento de água doce para enfrentar a escassez de água, e reduzir substancialmente o número de pessoas que sofrem com a escassez de água."
Belo Horizonte,CICERO DE LUCENA FILHO,PP,2020,"Programa de distribuição e entrega domiciliar de remédios para idosos e pessoas com mobilidade reduzida, que visa garantir o uso continuado para os diabéticos e hipertensos, mediante acompanhamento da equipe multidisciplinar da Unidade da Saúde da Família.","Oferecimento de bolsa de estudo em parceria com o Governo do Estado da Paraíba e com o Instituto Federal da Paraíba, para ofertar aos alunos da rede municipal a oportunidade da continuidade dos estudos, no ensino médio, incluindo a profissionalização para jovens e adultos.","Efetivação do uso de GPS e do aplicativo de mobilidade em toda a frota de transporte público e pela instalação de um sistema inteligente de ajuste e sincronização de semáforos de tempo fixo, para melhoria do fluxo de trânsito, reduzindo atrasos e parada.","Instalação de 04 centros de atendimento social, psicológico orientação e encaminhamento jurídico à mulher em situação de violência doméstica e vulnerabilidade social, em cada zona da cidade – Roger (zona norte); Mangabeira (zona sul); São José (zona leste); Alto do Mateus (zona oeste).","Criar a linha turismo que interligue o parque hoteleiro aos principais atrativos turísticos da cidade, onde o turista realiza o seu próprio roteiro."
Belo Horizonte,EDILMA DA COSTA FREIRE,PV,2020,"Criação do Centro de Monitoramento da Cidade, que vai utilizar tecnologia de ponta para monitoramento da cidade","Criação da Semana do Empreendedor Tecnológico, que vai premiar startups que criarem soluções tecnológicas para gargalos da cidade","Parque Socioambiental do Roger: dentro do programa João Pessoa Cidade Sustentável, vamos entregar para a população da cidade mais uma área de lazer e convivência, recuperando o terreno onde funcionava o antigo Lixão do Roger",Instituir o programa Mais Médicos Especialistas nas 10 especialidades clínicas mais demandadas,"Criação da ‘Bolsa Juventude Agente do Bem’, que vai oportunizar inclusão social por meio de um programa de incentivo ao desenvolvimento de competências e habilidades a jovens de João Pessoa. Em meio período, o jovem entre 14 e 18 anos participará de formação nas áreas de educação ambiental, educação patrimonial ou cultura e artes, mesclando estudo teórico com aulas práticas, atuando como monitores em equipamentos públicos como Parque da Bica e Parque da Lagoa"
Belo Horizonte,JOÃO ALMEIDA DE CARVALHO JUNIOR,SOLIDARIEDADE,2020,"Implantação do Programa Saúde do Trabalhador, com a visita das equipes de profissionais da saúde nas Empresas do Município, durante o horário de trabalho, diminuindo filas nos atendimentos dos Postos de Saúde e prevenindo doenças","Criar o programa Escola do Futuro, uma rede de educação integral formada por escolas integrais, contra turnos e centros integrados de educação, cultura, esporte, ciência e profissionalização. Esses centros, além de unidades de ensino e de profissionalização estarão voltados para a difusão do acesso ao conhecimento científico e tecnológico.","Implantar programa de incentivo às novas tecnologias de construção popular em parceria com a iniciativa privada, as universidades e a sociedade civil organizada","Erradicação da pobreza em João Pessoa por meio da ampliação da transferência de renda às famílias atendidas pelo Programa Bolsa Família (PBF) e do acesso aos serviços públicos de assistência social, saúde, educação e moradia","Criação do Museu de João Pessoa, objetivando o resgate do patrimônio histórico-cultural da cidade, utilizando tecnologia para que o visitante possa viver uma experiência virtual de passeio por diversos pontos importantes da cidade, no anexo da Estação Ciência"
Belo Horizonte,NILVAN FERREIRA DO NASCIMENTO,MDB,2020,"Criação do Sistema Municipal de Avaliação da Educação (SIMAE) para permitir que João Pessoa tenha suas próprias métricas sobre a qualidade da educação no município, possibilitando elevar a qualidade do ensino para nossas crianças",Programa de Investimento na área de TI para a adoção dos recursos de Inteligência Artificial para a redução da infecção hospitalar no município de João Pessoa,"Definição e investimento em políticas públicas de saúde preventiva, criando brigadas de descontaminação e limpeza de leitos de riachos, canalização de águas e esgoto, ligações de água potável em parceria com as secretarias de meio ambiente e infraestrutura.","Implantação de infraestrutura para solucionar problemas tornados crônicos pela inércia governamental do município, a exemplo do BRT, o viaduto da descida do Bairro Altiplano e o elevado voltado a resolver o problema de inundação da via de interligação entre os Bairros de Mangabeira e Valentina de Figueiredo.",Banco da Retomada: Linhas de crédito especiais para dinamizar o empreendedorismo feminino e estimular e apoiar a criação de cooperativas de mulheres trabalhadoras.
Belo Horizonte,PABLO HONORATO NASCIMENTO,PSOL,2020,Criação de armazém/mercado/supermercado para venda de produtos a preços acessíveis à população de baixa renda,"Criar o programa Consultório na Rua em João Pessoa, promovendo estratégias de real integração dessas equipes às equipes de USF, e a articulação de rede com equipes da RAPS, serviços de especialidades, serviços de Urgência e Emergência, e serviços da Assistência Social",Fortalecimento dos conselhos comunitário escolar para envolver a comunidade na participação da vida escolar dos filhos e nos cuidados com a escola,"Criar a Secretaria Municipal de Cultura e Economia Criativa, que terá a função de planejar, desenvolver e implementar a Política Municipal de Cultura, conduzindo de forma integrada e transversal esse processo de estruturação. Com o adendo da dimensão econômica como uma das principais atividades, busca-se ampliar as relações entre cultura e desenvolvimento, implementando-se uma política orientada ao desenvolvimento econômico com base na produção artística, na diversidade cultural e nos potenciais existentes na cidade.","Criação do Conselho Municipal de Segurança Pública, garantindo a participação de pessoas da sociedade civil e de movimentos sociais, para atuar de maneira independente na construção de políticas de segurança voltadas ao bem-estar da população."
Belo Horizonte,RAFAEL FREIRE SANTANA,UP,2020,"Não celebrar contratos do tipo parceria público-privada nem com as chamadas Organizações Sociais (OS) para desenvolver atividades de gestão de hospitais, escolas, obras e demais setores da administração pública.","Realizar uma auditoria dos grandes devedores de impostos para que estes quitem integralmente suas obrigações, de modo a efetivar uma importante entrada de recursos para o orçamento da Prefeitura",Revogar a Reforma da Previdência Municipal para garantir o direito à aposentadoria dos servidores públicos e não colocar o dinheiro da aposentadoria no mercado financeiro.,"Erradicar o analfabetismo na cidade, que soma hoje mais de 37 mil pessoas nesta condição. Organizar Brigadas de Ensino com turmas nos bairros, utilizando escolas municipais, estaduais, associações de moradores e centros comunitários. Cada turma terá duração de cinco meses, num total de 120 horas/aula. Cada estudante receberá uma bolsa-incentivo de R$ 200, material didático e fardamento. Os monitores serão selecionados entre estudantes universitários e educadores populares.","Investir no Centro Regional de Referência em Saúde do Trabalhador (Cerest), cuja finalidade é fiscalizar o descumprimento das normas de saúde no ambiente de trabalho, antecipando-se a eventuais problemas e, assim, preservando a integridade física dos trabalhadores e evitando mais gastos com tratamentos de saúde. O Cerest também presta apoio nos processos de confirmação de acidentes, doenças e agravos decorrentes do trabalho e acompanha, com médicos especialistas, trabalhadores que já estão em tratamento."
Belo Horizonte,RAONI BARRETO MENDES,DEM,2020,"Ampliar as compras governamentais das empresas e dos agronegócios locais, visando estimular a economia e a geração de emprego e renda",Criar escolas de Formação de Ofícios para suprir as demandas de serviços de primeira necessidade,Realizar o programa de capacitação em mídias digitais para todos os profissionais da educação,criar o Hospital de Referência para assistência da mulher,"Estruturar áreas com parcerias público-privadas para oferta de vagas de estacionamentos, oportunizando mão-de-obra informal como flanelinhas, em postos de trbalho nestes estabelecimentos"
Belo Horizonte,RICARDO VIEIRA COUTINHO,PSB,2020,"Implantar o terceiro turno de atendimento em Unidades do Programa de Saúde da Família (PSF’s), para garantir o acesso da população aos serviços de atenção primária também em horário noturno em todos os distritos sanitários do município","Criar o Projeto DE OLHO NO FUTURO: Talentos Invisíveis (incubadora de projetos) – com abrangência nas 14 regiões de João Pessoa. O Projeto destina-se a selecionar jovens entre 17 e 24 anos, que evadiram da escola e estão sem ocupação, os quais, a partir de suas habilidades e vocações, serão orientados por profissionais que oferecerão estúdios de criação, palestras, oficinas, contatos com acadêmicos e bancas de avaliação, o que potencializará suas ideias e organizará o empreendimento pretendido, que poderá ser individual ou coletivo","Criar, implantar e manter o Programa GIRA MUNDO, destinado à formação complementar de professores da rede municipal, mediante convênios de cooperação internacional com países que dispõe de experiências e políticas educacionais de reconhecida excelência;","Criar o Observatório Estratégico de Segurança Pública, em parceria com universidades e outros institutos de pesquisa, instituindo um centro de inteligência, pesquisa social e estatística aplicadas à segurança pública, por meio do georreferenciamento de dados e do diagnóstico, planejamento, avaliação e monitoramento das políticas públicas voltadas à segurança, com o objetivo de qualificar as ações realizadas pelo novo Gabinete de Gestão Integrada Municipal;","Criar o Programa CARTÃO ALIMENTAÇÃO, como parte de uma política pública de renda social e de segurança alimentar, orientada para o pequeno e médio comércios dos bairros e comunidades. O Programa contemplará com adicionais de até 20% do valor repassado as famílias que tiverem pessoas com deficiência e as que forem chefiadas por mulheres. O Programa oferecerá também cursos profissionalizantes e outros incentivos à inclusão produtiva das famílias;"
